,document_id,document_text,entity,gold_answer,giga_answer,score
0,ru-10,"Тереза Мэй рассчитывает усидеть в седле до завершения процедуры Brexit

Тем не менее, по сведениям британских СМИ, на предстоящей в конце сентября конференции партии тори противники Мэй навяжут ей серьезный бой, из которого не факт, что она выйдет победителем. Фаворит букмекеров в качестве возможного сменщика нынешнего премьера, бывший министр иностранных дел Британии Борис Джонсон намерен выступить с альтернативным докладом, который не оставит камня на камне от взглядов главы правительства на условия ""брекзита"". С точки зрения Джонсона, ""Лондон обернул британскую конституцию поясом смертника и вручил детонатор Мишелю Барнье (главному переговорщику Брюсселя по ""брекзиту"". - От ред.)"". С этой метафорой и предстоит сражаться на конференции главе правительства Альбиона.

Ради будущего торгового договора с единой Европой Лондон действительно согласился на множество уступок. Во-первых, он заплатит Брюсселю 39 миллиардов фунтов стерлингов. Во-вторых, будет выполнять законы ЕС. И, наконец, самое неприятное - от Британии требуют, чтобы она оставила Северную Ирландию в составе таможенного союза единой Европы. Это означает, по мнению Джонсона, что Британия может потерять Северную Ирландию, поскольку их союз в любой момент окажется в состоянии разорвать Брюссель. Понятно, что для гордых англичан такая потенциальная зависимость выглядит неприемлемой, да и терять территории Соединенного Королевства тоже не хочется. ""Мы сумели низвести великий британский брексит до двух ужасающих вариантов - или мы раскалываем наш союз, или вся страна навсегда обязана выполнять европейские законы"", - с присущим ему пафосом восклицает Джонсон, обращаясь к однопартийцам. Он убежден, что действия нынешнего премьера означают, что Британия ""направилась к статусу колонии"", не получив ничего взамен от единой Европы. Чем ответит Мэй на эти обвинения, схожие по составу с государственной изменой, не ясно. Судя по ее выступлению в четверг на экстренном саммите Евросоюза в Брюсселе, британский премьер рассчитывает на значительные уступки со стороны бывших коллег по единой Европе. И не прочь пошантажировать их возможным приходом Джонсона к власти на Альбионе: ведь в этом случае Брюсселю придется иметь дело с непредсказуемым, ""идейным"" переговорщиком, с которым практически невозможно договориться полюбовно.

При всей ""конспирологичности"" нельзя полностью исключать версию, что экс-глава британского МИДа закулисно договорился с Мэй. И теперь действует по классической схеме боевиков - в то время как Борис Джонсон на публике изображает ""плохого полицейского"", Мэй в глазах Евросоюза выглядит белой и пушистой овечкой. Этот план, если он действительно существует, срабатывает на пятерку - перед началом открывшегося в среду экстренного саммита Евросоюза австрийский канцлер Себастьян Курц заявил, что ""брекзит"" без сделки был бы для всех проигрышным"", и ""значительно лучше договориться"". А европейские СМИ, ссылаясь на свои источники, утверждают: в Брюсселе хотят ""спасти Терезу"" от возможной отставки на конференции Консервативной партии и ради этого пойдут на уступки Лондону. В противном случае избежать хаоса, который возникнет, если Джонсон займет кресло британского премьера, избежать не удастся. А вариант триумфального возвращения Джонсона в правительство исключать нельзя - в британских букмекерских конторах критикующий договоренности с Евросоюзом бывший министр иностранных дел считается кандидатом - фаворитом на пост премьера.

Кстати, Мэй тоже не прочь попугать своих европейских собеседников. В частности, она заявила, что в Лондоне уже готовятся к возможному выходу из состава Евросоюза по жесткому сценарию, без соглашения. ""По некоторым вопросам будут серьезные трудности и для Британии, и для Евросоюза"", - равнодушно констатировала премьер. Однако эксперты Международного валютного фонда предполагают, что в случае такого сценария Лондон потеряет значительно больше, чем единая Европа. Пока политики по обе стороны Ла-Манша пытаются взять друг друга ""на слабо"", британский бизнес создает запасы европейских товаров, включая лекарственные препараты. Со своей стороны Еврокомиссия готовит пакет экстренных законов в области регулирования финансовых рынков. Впрочем, даже договорившись с руководством Евросоюза об условиях выхода Британии и благополучно пережив в качестве премьера конференцию тори, Мэй не может быть уверенной, что далее все пройдет гладко. Дело в том, что соглашение Лондона и Брюсселя предстоит утвердить Европейскому и британскому парламентам. А там достаточно горячих голов, готовых в пух и прах разнести выстраданный на длительных переговорах компромисс, который в конечном итоге не понравится на 100 процентов ни британцам, ни европейцам. Так, оппозиционные британские лейбористы уже заявили, что проголосуют против любой сделки с Брюсселем, которую предложит Мэй. Столь же непримиримо к достигнутым премьером компромиссам настроена часть консерваторов. Так что утверждение сделки с Евросоюзом в британском парламенте может в принципе не состояться. При этом сценарии экономическое, да и политическое будущее Альбиона выглядит непредсказуемым и весьма туманным. Впрочем, к подобным капризам погоды британцам не привыкать...",EVT,EVT-Brexit,EVT-Brexit; EVT-Emergency-summit-of-the-EU; EVT-Conference-of-the-Conservative-Party,0.5
1,ru-10,"Тереза Мэй рассчитывает усидеть в седле до завершения процедуры Brexit

Тем не менее, по сведениям британских СМИ, на предстоящей в конце сентября конференции партии тори противники Мэй навяжут ей серьезный бой, из которого не факт, что она выйдет победителем. Фаворит букмекеров в качестве возможного сменщика нынешнего премьера, бывший министр иностранных дел Британии Борис Джонсон намерен выступить с альтернативным докладом, который не оставит камня на камне от взглядов главы правительства на условия ""брекзита"". С точки зрения Джонсона, ""Лондон обернул британскую конституцию поясом смертника и вручил детонатор Мишелю Барнье (главному переговорщику Брюсселя по ""брекзиту"". - От ред.)"". С этой метафорой и предстоит сражаться на конференции главе правительства Альбиона.

Ради будущего торгового договора с единой Европой Лондон действительно согласился на множество уступок. Во-первых, он заплатит Брюсселю 39 миллиардов фунтов стерлингов. Во-вторых, будет выполнять законы ЕС. И, наконец, самое неприятное - от Британии требуют, чтобы она оставила Северную Ирландию в составе таможенного союза единой Европы. Это означает, по мнению Джонсона, что Британия может потерять Северную Ирландию, поскольку их союз в любой момент окажется в состоянии разорвать Брюссель. Понятно, что для гордых англичан такая потенциальная зависимость выглядит неприемлемой, да и терять территории Соединенного Королевства тоже не хочется. ""Мы сумели низвести великий британский брексит до двух ужасающих вариантов - или мы раскалываем наш союз, или вся страна навсегда обязана выполнять европейские законы"", - с присущим ему пафосом восклицает Джонсон, обращаясь к однопартийцам. Он убежден, что действия нынешнего премьера означают, что Британия ""направилась к статусу колонии"", не получив ничего взамен от единой Европы. Чем ответит Мэй на эти обвинения, схожие по составу с государственной изменой, не ясно. Судя по ее выступлению в четверг на экстренном саммите Евросоюза в Брюсселе, британский премьер рассчитывает на значительные уступки со стороны бывших коллег по единой Европе. И не прочь пошантажировать их возможным приходом Джонсона к власти на Альбионе: ведь в этом случае Брюсселю придется иметь дело с непредсказуемым, ""идейным"" переговорщиком, с которым практически невозможно договориться полюбовно.

При всей ""конспирологичности"" нельзя полностью исключать версию, что экс-глава британского МИДа закулисно договорился с Мэй. И теперь действует по классической схеме боевиков - в то время как Борис Джонсон на публике изображает ""плохого полицейского"", Мэй в глазах Евросоюза выглядит белой и пушистой овечкой. Этот план, если он действительно существует, срабатывает на пятерку - перед началом открывшегося в среду экстренного саммита Евросоюза австрийский канцлер Себастьян Курц заявил, что ""брекзит"" без сделки был бы для всех проигрышным"", и ""значительно лучше договориться"". А европейские СМИ, ссылаясь на свои источники, утверждают: в Брюсселе хотят ""спасти Терезу"" от возможной отставки на конференции Консервативной партии и ради этого пойдут на уступки Лондону. В противном случае избежать хаоса, который возникнет, если Джонсон займет кресло британского премьера, избежать не удастся. А вариант триумфального возвращения Джонсона в правительство исключать нельзя - в британских букмекерских конторах критикующий договоренности с Евросоюзом бывший министр иностранных дел считается кандидатом - фаворитом на пост премьера.

Кстати, Мэй тоже не прочь попугать своих европейских собеседников. В частности, она заявила, что в Лондоне уже готовятся к возможному выходу из состава Евросоюза по жесткому сценарию, без соглашения. ""По некоторым вопросам будут серьезные трудности и для Британии, и для Евросоюза"", - равнодушно констатировала премьер. Однако эксперты Международного валютного фонда предполагают, что в случае такого сценария Лондон потеряет значительно больше, чем единая Европа. Пока политики по обе стороны Ла-Манша пытаются взять друг друга ""на слабо"", британский бизнес создает запасы европейских товаров, включая лекарственные препараты. Со своей стороны Еврокомиссия готовит пакет экстренных законов в области регулирования финансовых рынков. Впрочем, даже договорившись с руководством Евросоюза об условиях выхода Британии и благополучно пережив в качестве премьера конференцию тори, Мэй не может быть уверенной, что далее все пройдет гладко. Дело в том, что соглашение Лондона и Брюсселя предстоит утвердить Европейскому и британскому парламентам. А там достаточно горячих голов, готовых в пух и прах разнести выстраданный на длительных переговорах компромисс, который в конечном итоге не понравится на 100 процентов ни британцам, ни европейцам. Так, оппозиционные британские лейбористы уже заявили, что проголосуют против любой сделки с Брюсселем, которую предложит Мэй. Столь же непримиримо к достигнутым премьером компромиссам настроена часть консерваторов. Так что утверждение сделки с Евросоюзом в британском парламенте может в принципе не состояться. При этом сценарии экономическое, да и политическое будущее Альбиона выглядит непредсказуемым и весьма туманным. Впрочем, к подобным капризам погоды британцам не привыкать...",LOC,GPE-Great-Britain; GPE-Brussles; LOC-Europe; LOC-English-Channel; GPE-London; GPE-Northern-Ireland,GPE-Britain; GPE-London; GPE-Brussels; GPE-Northern-Ireland; LOC-La-Manche,0.3636363636363636
2,ru-10,"Тереза Мэй рассчитывает усидеть в седле до завершения процедуры Brexit

Тем не менее, по сведениям британских СМИ, на предстоящей в конце сентября конференции партии тори противники Мэй навяжут ей серьезный бой, из которого не факт, что она выйдет победителем. Фаворит букмекеров в качестве возможного сменщика нынешнего премьера, бывший министр иностранных дел Британии Борис Джонсон намерен выступить с альтернативным докладом, который не оставит камня на камне от взглядов главы правительства на условия ""брекзита"". С точки зрения Джонсона, ""Лондон обернул британскую конституцию поясом смертника и вручил детонатор Мишелю Барнье (главному переговорщику Брюсселя по ""брекзиту"". - От ред.)"". С этой метафорой и предстоит сражаться на конференции главе правительства Альбиона.

Ради будущего торгового договора с единой Европой Лондон действительно согласился на множество уступок. Во-первых, он заплатит Брюсселю 39 миллиардов фунтов стерлингов. Во-вторых, будет выполнять законы ЕС. И, наконец, самое неприятное - от Британии требуют, чтобы она оставила Северную Ирландию в составе таможенного союза единой Европы. Это означает, по мнению Джонсона, что Британия может потерять Северную Ирландию, поскольку их союз в любой момент окажется в состоянии разорвать Брюссель. Понятно, что для гордых англичан такая потенциальная зависимость выглядит неприемлемой, да и терять территории Соединенного Королевства тоже не хочется. ""Мы сумели низвести великий британский брексит до двух ужасающих вариантов - или мы раскалываем наш союз, или вся страна навсегда обязана выполнять европейские законы"", - с присущим ему пафосом восклицает Джонсон, обращаясь к однопартийцам. Он убежден, что действия нынешнего премьера означают, что Британия ""направилась к статусу колонии"", не получив ничего взамен от единой Европы. Чем ответит Мэй на эти обвинения, схожие по составу с государственной изменой, не ясно. Судя по ее выступлению в четверг на экстренном саммите Евросоюза в Брюсселе, британский премьер рассчитывает на значительные уступки со стороны бывших коллег по единой Европе. И не прочь пошантажировать их возможным приходом Джонсона к власти на Альбионе: ведь в этом случае Брюсселю придется иметь дело с непредсказуемым, ""идейным"" переговорщиком, с которым практически невозможно договориться полюбовно.

При всей ""конспирологичности"" нельзя полностью исключать версию, что экс-глава британского МИДа закулисно договорился с Мэй. И теперь действует по классической схеме боевиков - в то время как Борис Джонсон на публике изображает ""плохого полицейского"", Мэй в глазах Евросоюза выглядит белой и пушистой овечкой. Этот план, если он действительно существует, срабатывает на пятерку - перед началом открывшегося в среду экстренного саммита Евросоюза австрийский канцлер Себастьян Курц заявил, что ""брекзит"" без сделки был бы для всех проигрышным"", и ""значительно лучше договориться"". А европейские СМИ, ссылаясь на свои источники, утверждают: в Брюсселе хотят ""спасти Терезу"" от возможной отставки на конференции Консервативной партии и ради этого пойдут на уступки Лондону. В противном случае избежать хаоса, который возникнет, если Джонсон займет кресло британского премьера, избежать не удастся. А вариант триумфального возвращения Джонсона в правительство исключать нельзя - в британских букмекерских конторах критикующий договоренности с Евросоюзом бывший министр иностранных дел считается кандидатом - фаворитом на пост премьера.

Кстати, Мэй тоже не прочь попугать своих европейских собеседников. В частности, она заявила, что в Лондоне уже готовятся к возможному выходу из состава Евросоюза по жесткому сценарию, без соглашения. ""По некоторым вопросам будут серьезные трудности и для Британии, и для Евросоюза"", - равнодушно констатировала премьер. Однако эксперты Международного валютного фонда предполагают, что в случае такого сценария Лондон потеряет значительно больше, чем единая Европа. Пока политики по обе стороны Ла-Манша пытаются взять друг друга ""на слабо"", британский бизнес создает запасы европейских товаров, включая лекарственные препараты. Со своей стороны Еврокомиссия готовит пакет экстренных законов в области регулирования финансовых рынков. Впрочем, даже договорившись с руководством Евросоюза об условиях выхода Британии и благополучно пережив в качестве премьера конференцию тори, Мэй не может быть уверенной, что далее все пройдет гладко. Дело в том, что соглашение Лондона и Брюсселя предстоит утвердить Европейскому и британскому парламентам. А там достаточно горячих голов, готовых в пух и прах разнести выстраданный на длительных переговорах компромисс, который в конечном итоге не понравится на 100 процентов ни британцам, ни европейцам. Так, оппозиционные британские лейбористы уже заявили, что проголосуют против любой сделки с Брюсселем, которую предложит Мэй. Столь же непримиримо к достигнутым премьером компромиссам настроена часть консерваторов. Так что утверждение сделки с Евросоюзом в британском парламенте может в принципе не состояться. При этом сценарии экономическое, да и политическое будущее Альбиона выглядит непредсказуемым и весьма туманным. Впрочем, к подобным капризам погоды британцам не привыкать...",PER,PER-Boris-Johnson; PER-Michel-Barnier; PER-Theresa-May; PER-Sebastian-Kurz,PER-Theresa-May; PER-Boris-Johnson,0.6666666666666666
3,ru-10,"Тереза Мэй рассчитывает усидеть в седле до завершения процедуры Brexit

Тем не менее, по сведениям британских СМИ, на предстоящей в конце сентября конференции партии тори противники Мэй навяжут ей серьезный бой, из которого не факт, что она выйдет победителем. Фаворит букмекеров в качестве возможного сменщика нынешнего премьера, бывший министр иностранных дел Британии Борис Джонсон намерен выступить с альтернативным докладом, который не оставит камня на камне от взглядов главы правительства на условия ""брекзита"". С точки зрения Джонсона, ""Лондон обернул британскую конституцию поясом смертника и вручил детонатор Мишелю Барнье (главному переговорщику Брюсселя по ""брекзиту"". - От ред.)"". С этой метафорой и предстоит сражаться на конференции главе правительства Альбиона.

Ради будущего торгового договора с единой Европой Лондон действительно согласился на множество уступок. Во-первых, он заплатит Брюсселю 39 миллиардов фунтов стерлингов. Во-вторых, будет выполнять законы ЕС. И, наконец, самое неприятное - от Британии требуют, чтобы она оставила Северную Ирландию в составе таможенного союза единой Европы. Это означает, по мнению Джонсона, что Британия может потерять Северную Ирландию, поскольку их союз в любой момент окажется в состоянии разорвать Брюссель. Понятно, что для гордых англичан такая потенциальная зависимость выглядит неприемлемой, да и терять территории Соединенного Королевства тоже не хочется. ""Мы сумели низвести великий британский брексит до двух ужасающих вариантов - или мы раскалываем наш союз, или вся страна навсегда обязана выполнять европейские законы"", - с присущим ему пафосом восклицает Джонсон, обращаясь к однопартийцам. Он убежден, что действия нынешнего премьера означают, что Британия ""направилась к статусу колонии"", не получив ничего взамен от единой Европы. Чем ответит Мэй на эти обвинения, схожие по составу с государственной изменой, не ясно. Судя по ее выступлению в четверг на экстренном саммите Евросоюза в Брюсселе, британский премьер рассчитывает на значительные уступки со стороны бывших коллег по единой Европе. И не прочь пошантажировать их возможным приходом Джонсона к власти на Альбионе: ведь в этом случае Брюсселю придется иметь дело с непредсказуемым, ""идейным"" переговорщиком, с которым практически невозможно договориться полюбовно.

При всей ""конспирологичности"" нельзя полностью исключать версию, что экс-глава британского МИДа закулисно договорился с Мэй. И теперь действует по классической схеме боевиков - в то время как Борис Джонсон на публике изображает ""плохого полицейского"", Мэй в глазах Евросоюза выглядит белой и пушистой овечкой. Этот план, если он действительно существует, срабатывает на пятерку - перед началом открывшегося в среду экстренного саммита Евросоюза австрийский канцлер Себастьян Курц заявил, что ""брекзит"" без сделки был бы для всех проигрышным"", и ""значительно лучше договориться"". А европейские СМИ, ссылаясь на свои источники, утверждают: в Брюсселе хотят ""спасти Терезу"" от возможной отставки на конференции Консервативной партии и ради этого пойдут на уступки Лондону. В противном случае избежать хаоса, который возникнет, если Джонсон займет кресло британского премьера, избежать не удастся. А вариант триумфального возвращения Джонсона в правительство исключать нельзя - в британских букмекерских конторах критикующий договоренности с Евросоюзом бывший министр иностранных дел считается кандидатом - фаворитом на пост премьера.

Кстати, Мэй тоже не прочь попугать своих европейских собеседников. В частности, она заявила, что в Лондоне уже готовятся к возможному выходу из состава Евросоюза по жесткому сценарию, без соглашения. ""По некоторым вопросам будут серьезные трудности и для Британии, и для Евросоюза"", - равнодушно констатировала премьер. Однако эксперты Международного валютного фонда предполагают, что в случае такого сценария Лондон потеряет значительно больше, чем единая Европа. Пока политики по обе стороны Ла-Манша пытаются взять друг друга ""на слабо"", британский бизнес создает запасы европейских товаров, включая лекарственные препараты. Со своей стороны Еврокомиссия готовит пакет экстренных законов в области регулирования финансовых рынков. Впрочем, даже договорившись с руководством Евросоюза об условиях выхода Британии и благополучно пережив в качестве премьера конференцию тори, Мэй не может быть уверенной, что далее все пройдет гладко. Дело в том, что соглашение Лондона и Брюсселя предстоит утвердить Европейскому и британскому парламентам. А там достаточно горячих голов, готовых в пух и прах разнести выстраданный на длительных переговорах компромисс, который в конечном итоге не понравится на 100 процентов ни британцам, ни европейцам. Так, оппозиционные британские лейбористы уже заявили, что проголосуют против любой сделки с Брюсселем, которую предложит Мэй. Столь же непримиримо к достигнутым премьером компромиссам настроена часть консерваторов. Так что утверждение сделки с Евросоюзом в британском парламенте может в принципе не состояться. При этом сценарии экономическое, да и политическое будущее Альбиона выглядит непредсказуемым и весьма туманным. Впрочем, к подобным капризам погоды британцам не привыкать...",ORG,ORG-European-Union; ORG-European-Commission; ORG-European-Parlament; ORG-Conservative-and-Unionist-Party-UK; ORG-International-Monetary-Fund; ORG-British-Parlament; ORG-Labour-Party-UK,ORG-Conservative-Party; ORG-European-Union; ORG-International-Monetary-Fund,0.4
4,ru-1000,"Подробности.ua: Третий за сутки: Борис Джонсон покинул пост министра иностранных дел Великобритании

Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.

Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.",EVT,EVT-Brexit,EVT-Resignation; EVT-Negotiations-with-the-EU,0.0
5,ru-1000,"Подробности.ua: Третий за сутки: Борис Джонсон покинул пост министра иностранных дел Великобритании

Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.

Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.",PRO,PRO-The-Guardian; PRO-Podrobnosti,,0.0
6,ru-1000,"Подробности.ua: Третий за сутки: Борис Джонсон покинул пост министра иностранных дел Великобритании

Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.

Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.",PER,PER-Boris-Johnson; PER-David-Davis; PER-Steve-Baker; PER-Theresa-May,PER-Boris-Johnson; PER-Theresa-May; PER-David-Davis; PER-Steve-Baker,1.0
7,ru-1000,"Подробности.ua: Третий за сутки: Борис Джонсон покинул пост министра иностранных дел Великобритании

Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.

Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.",LOC,GPE-Great-Britain,GPE-United-Kingdom,0.0
8,ru-1000,"Подробности.ua: Третий за сутки: Борис Джонсон покинул пост министра иностранных дел Великобритании

Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.

Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.",ORG,ORG-European-Union; ORG-Foreign-Office; ORG-UNN,ORG-UK-Cabinet; ORG-UK-Foreign-Office; ORG-European-Union,0.3333333333333333
9,ru-1001,"Глава МИД Британии Борис Джонсон подал в отставку

Министр иностранных дел Великобритании Борис Джонсон ушел в отставку. Об этом сообщает Associated Press. Премьер-министр Тереза Мэй приняла отставку Джонсона. ""Премьер поблагодарила Бориса за работу. О том, кто станет новым министром, будет объявлено в ближайшее время"", - сообщили также в канцелярии премьера.

Ранее Мэй пообещала отправить в отставку Джонсона, если он откажется принять ее позицию по плавному выходу из Евросоюза. Напомним, что Джонсон является сторонником жесткого Brexit . Он уверен, что план Мэй, который подразумевает создание зоны свободной торговли с ЕС, сохранит зависимость Соединенного Королевства от Евросоюза.",ORG,ORG-The-Associated-Press; ORG-European-Union; ORG-Foreign-Office,ORG-UK-Government; ORG-UK-Prime-Ministers-Office,0.0
